title,abstract,doi
"Geophysical History Of The Iowa Field, Calcasieu And Jefferson Davis Parishes, Louisiana","The discovery well of the Iowa field was drilled in October of 1931, and the field has produced 48,000,000 barrels of oil to date. The history of the early refraction seismograph, gravity, and reflection seismograph exploration of this important field is presented.",10.1190/1.1445055
Multiple Attenuation In The Image Space,"Multiples can be suppressed in the angle-domain image space after migration. For a given velocity model, primaries and multiples have different angle-domain moveout and, therefore, can be separated using techniques similar to the ones employed in the data space prior to migration. We use Radon transforms in the image space to discriminate between primaries and multiples and employ accurate functions describing angle-domain moveouts. Since every individual angle-domain common-image gather incorporates complex 3D propagation effects, our method has the advantage of working with 3D data and complicated geology. Therefore, our method offers an alternative to the more expensive surface-related multiple-elimination (SRME) approach operating in the data space. Radon transforms are cheap but not necessarily ideal for separating primaries and multiples, particularly at small angles where the moveout discrepancy between the two kinds of events are not large. Better techniques involving signal/noise separation using prediction-error filters can be employed as well, although such approaches fall outside the scope of this paper. We demonstrate, using synthetic and real data examples, the power of our method in discriminating between primaries and multiples after migration by wavefield extrapolation, followed by transformation to the angle domain.",10.1190/1.1852789
Conductivity Spectra Of Rocks From The Craigmont Ore Environment,"The conductivities of rocks of a suite from the Craigmont ore environment were studied as functions of frequency over the four decades 1,000 to 0.1 cps. The following were observed on a plot of linear conductivity vs log frequency. (1) Rocks mineralized with disseminated sulfides and magnetite yield low‐to‐moderate induced polarization (I.P.) and have conductivity‐frequency spectra which are concave‐up. (2) As veining increases, the spectra tend to straighten, and become sensibly straight when much of the metallics are interconnected; such rocks are characterized by low to large I.P. (3) Massive specular hematite cores yield a large I.P. and have spectra which are markedly concave‐up. For comparison, (4) clay‐containing sandstones yield low to moderate I.P. and have spectra which are slightly convex‐up. Consequently, the combination of I.P. magnitude and spectral analysis permits distinction of the various mineralization types.",10.1190/1.1439425
Gpr Characterization Of Buried Tanks And Pipes,"Ray‐based numerical simulations of monostatic and bistatic GPR responses for several tank and pipe configurations reveal the potential for noninvasive diagnostic evaluations. Examples include discrimination of the material from which a tank is constructed, its size, contents, fluid levels, and shape changes. Ambiguities occur when different configurations give similar responses, and evaluations become less reliable as noise increases. Simulations are able to reproduce the salient features of field GPR data recorded over a metal pipe, and over plastic pipes filled with air, fresh water, and salt water.",10.1190/1.1444189
Fluid Distribution Effect On Sonic Attenuation In Partially Saturated Limestones,"Extensional and torsional wave‐attenuation measurements are obtained at a sonic frequency around 1 kHz on partially saturated limestones using large resonant bars, 1 m long. To study the influence of the fluid distribution, we use two different saturation methods: drying and depressurization. When water saturation (Sw) is higher than 70%, the extensional wave attenuation is found to depend on whether the resonant bar is jacketed. This can be interpreted as the Biot‐Gardner‐White effect. The experimental results obtained on jacketed samples show that, during a drying experiment, extensional wave attenuation is influenced strongly by the fluid content when Sw is between approximately 60% and 100%. This sensitivity to fluid saturation vanishes when saturation is obtained through depressurization. Using a computer‐assisted tomographic (CT) scan, we found that, during depressurization, the fluid distribution is homogeneous at the millimetric scale at all saturations. In contrast, during drying, heterogeneous saturation was observed at high water‐saturation levels. Thus, we interpret the dependence of the extensional wave attenuation upon the saturation method as principally caused by a fluid distribution effect. Torsional attenuation shows no sensitivity to fluid saturation for Sw between 5% and 100%.",10.1190/1.1444308
Application Of The Recursive‐Approaching Signal Filter (Rasf) To Vsp Data Processing,"The recursive‐approaching signal filter (RASF) is a newly developed filtering technique that combines many advantages of linear, nonlinear, and adaptive filters. It passes step functions without altering them and removes many types of noise, such as Gaussian and Laplacian distributed noise. When applied to VSP data processing, the RASF emphasizes those abrupt discontinuities that originate or terminate at discrete depth points and effectively accomplishes the separation of upgoing and downgoing wave modes. The RASF may be transformed into a desired filter by simply changing a parameter to achieve the maximum usefulness of VSP field data. In the tests with the synthetic VSP modeling data corrupted by white Gaussian noise and real VSP data, the RASF compares favorably to f-k velocity and median filtering methods in removing noise, preserving step functions, and computational simplicity.",10.1190/1.1444207
Static Shift Of Magnetotelluric Data And Its Removal In A Sedimentary Basin Environment,"Previous modeling investigations of the static shift of magnetotelluric (MT) apparent resistivity curves have limited appeal in that the electric fields used were point measurements, whereas field observations are of voltage differences. Thus, inhomogeneities of dimension of the order of the electrode line length could not be investigated. In this paper, by using a modeling algorithm that derives point voltages rather than point electric fields, I consider the effect on the MT responses of local near‐surface distorting structures, which are both outside of, and inside, the telluric electrode array. I show that static‐shift effects are of larger spatial size but of less magnitude than would be expected from conventional modeling. Also, the field observation that static shift affects only the apparent resistivity curve but not the phase response can be replicated by the voltage difference modeling. If there exists within the earth a layer whose variation in electrical resistivity along the profile can be treated in a parametric fashion, then static shift of the apparent resistivity curves can be corrected. Deriving the modal value from a sufficient number of observations for the layer resistivity is the most useful approach.",10.1190/1.1442533
"The Geophysical History Of The Cayuga Field, Anderson County, Texas","Original seismic maps based on the correlation method of reflection shooting are presented, together with a geological structure map. Cross sections show a comparison of the seismic and the well data. Results of a gravity‐meter survey are also shown.",10.1190/1.1445081
Improvements In Seismic Prospecting In 1938,"Improvements in reflection seismographs have been made during the past two or three years which have made it possible to use the method in areas previously considered unworkable. But these are not developments of the current year. The developments were worked out in regular seismograph country in the recent past, and the note‐worthy thing for this year is that they have now been applied successfully for the first time to areas which seismologists abandoned four or five years ago as unworkable.",10.1190/1.1440487
Structure Mapping On Enhanced Landsat Images Of Southern Brazil: Tectonic Control Of Mineralization And Speculations On Metallogeny,"Computer enhancement, particularly contrast‐stretching, reveals a previously unnoticed east‐west structural zone across a Landsat image of the southern Brazilian Precambrian shield. In this zone occur the only known economic or near‐economic deposits of gold, tin, and copper. Such deposits are typically localized by small east‐west structural elements. Non‐economic copper occurrences elsewhere in the region appear to be related to major northeast‐ and northwest‐trending lineaments mapped on Landsat images. Mineral exploration should be primarily directed at the main east‐west lineament, but two other possible east‐west zones might be worthwhile targets also. The major east‐west lineament projects through a break in the continental shelf, across the Atlantic along a large transoceanic fracture zone and into the African continent along a mapped tectonic trend that goes through an area that produces copper, gold, and tin. Global geophysical data suggest that the mapped east‐west trend in South America is a surface reflection of structures that developed in the tectosphere in Precambrian time and that have persisted until the present.",10.1190/1.1440720
Automatic Determination Of Depth On Aeromagnetic Profiles,"In our method of determining depths from aeromagnetic profile data, several sampling intervals adapted to the possible ranges of depths are used for a preliminary analysis of the profiles. This step detects and locates all the anomalies. We then study each anomaly in detail, using several structural hypotheses such as bottomless prisms (dikes) and thin plates. In this way, we produce a series of theoretical structures for each anomaly; only the best‐fitting ones are kept. Our results are shown as a distance‐depth representation, with the symbols plotted so as to indicate the probable degree of realiability. The complete processing is done automatically by a computer and a plotter.",10.1190/1.1440207
Seismic Imaging Of The Naga Thrust Using Multiscale Waveform Inversion,"This case study images the structural features related to the Naga thrust fault (northeast India) using a combination of multiscale waveform inversion and prestack depth migration (PSDM). The waveform model and the PSDM image complement each other: the former provides a physical-property map (P-wave velocity model) and the latter provides a structural image. The velocity model encompassing the starting model for waveform inversion is constructed using joint inversion of first and reflected traveltimes. The   4–8-Hz   data are inverted consecutively in   1-Hz   bandwidths to yield the final waveform model, which in turn is used for PSDM. The PSDM image and the waveform model are consistent with the lithological interpretation of an inline exploratory well. When interpreted jointly, the PSDM image and the waveform model reveal the presence of a conjugate fault system in the Naga thrust and fold belt.",10.1190/1.3158602
A New Multicoil Aerial Electromagnetic Prospecting System,"A helicopter‐towed multicoil electromagnetic system was developed using a 30‐ft bird and a transmitted frequency of 918 Hz. Its primary features of interest are (1) low aerodynamic and geological noise, (2) three‐dimensional vector recording of anomalies, and (3) quantity of geological information which is extracted by a computer‐oriented interpretive procedure. The multicoil system‐was developed to obtain more diagnostic geologic information about a conductor than was possible with other aerial electromagnetic equipment. This led to two approaches: (1) three‐dimensional recording of anomalies was developed to provide information on the electrical current distribution within the conductor and, hence, on the geometry of the conductor and (2) high‐resolution, low‐frequency design was chosen to bias the response of the system toward high‐conductivity targets to minimize interference from the usual geologic noise sources, thereby enhancing the response of discrete massive sulfide conductors. A consequence of these design criteria is a system yielding an advance in the state‐of‐the‐art of aerial electromagnetic exploration.",10.1190/1.1440277
On The Reflection And Transmission Of Viscoelastic Waves—Some Numerical Results,"The mathematical theory which is typically used to model the intrinsic anelasticity of the earth is the linear theory of viscoelasticity. The effects of anelasticity on wave propagation, such as absorption and dispersion, are often described using one‐dimensional (1-D) plane waves of the form exp[i(ωt-kx)] with k complex and frequency‐dependent. These waves are solutions of the 1-D viscoelastic wave equation. The reflection and transmission of plane waves in a layered viscoelastic medium is, however, a 2-D or 3-D problem. The solutions to the 2-D or 3-D viscoelastic wave equation are the so‐called general plane waves, which are classified as homogeneous or inhomogeneous depending upon whether or not the planes of constant phase, i.e., wavefronts, coincide with the planes of constant amplitude (the 1-D plane waves mentioned above are strictly homogeneous).",10.1190/1.1441765
A Method For Estimating Apparent Displacement Vectors From Time-Lapse Seismic Images,"Reliable estimates of vertical, inline, and crossline components of apparent displacements in time-lapse seismic images are difficult to obtain for two reasons. First, features in 3D seismic images tend to be locally planar, and components of displacement within the planes of such features are poorly resolved. Second, searching directly for peaks in 3D crosscorrelations is less robust, more complicated, and computationally more costly than searching for peaks of 1D crosscorrelations. I estimate all three components of displacement with a process designed to mitigate these two problems. I address the first problem by computing for each image sample a local phase correlation instead of a local crosscorrelation. I address the second problem with a cyclic sequence of searches for peaks of correlations computed for lags constrained to one of the three image axes.",10.1190/1.3184015
Developments In A Model To Describe Low‐Frequency Electrical Polarization Of Rocks,"The author reworks his total current conductivity function introduced in a previous paper, related to electrical polarization of rocks in the frequency range of 1 MHz to 10−3 Hz. The original five parameters in this function are replaced by new ones, which from the beginning have clear petrophysical and electrochemical meanings and well‐defined ranges of variation. Some classical models are derived as particular cases of it. The main existing models proposed to describe induced polarization (IP) are analyzed, and most of them are grouped together under a common circuit analog representation and a respective generating function. A circuit analog is assigned to each model. The multi‐Cole‐Cole model circuit analog reveals intrinsic constraints involving the values of its circuit elements. Because of these constraint relations and the relaxation times ratio (τ1/τ2)—usually many orders of magnitude from unity—the model has no physical validation to represent single‐phase material systems (in the sense of the polarization). The performance and analysis of the various models to describe a few well‐selected experimental data show that only two of the models, the multi‐Cole‐Cole and Dias models, can provide a function structure capable of fitting these data. This fact, the associated petrophysical interpretation consistency, and the basic characteristics of these two models, such as the way they were derived (empirically, the former; phenomenologically, the latter) and the number of coefficients in the function (directly related to the degree of ambiguity of their determination), make the author's model attractive and promising.",10.1190/1.1444738
"Gravity Models Of The Albuquerque Basin, Rio Grande Rift, New Mexico","As part of a hydrologic study, gravity anomalies over the Albuquerque basin were modeled to determine the thickness of the low‐density Neogene basin deposits, the major aquifer of the basin. The models are constrained by substantial density log and well data. Fifteen two‐dimensional (2-D) models include four major density units. The upper unit (density 2.20g/cm3) corresponds to the Neogene syn‐rifting deposits. Thickness of this unit averages about 1.5 km and exceeds 2.0 km in a strip along the east side of the basin. The thickness is about 1.0 km between the Albuquerque and the Santo Domingo basins. At the south end of the Albuquerque basin, the thickness is less than 0.5 km. The configuration of the remaining density units, less constrained by well data, raises significant questions about the history of the basin that cannot be answered with existing data.",10.1190/1.1441381
Sobel Filter For Edge Detection Of Hexagonally Sampled 3D Seismic Data,"In today's industry, automatic detection of geologic features such as faults and channels is a challenging problem when the quality of data is not good. Edge detection filters are generally applied for the purpose of locating such features. Until now, edge detection has been carried out on rectangularly sampled 3D seismic data. The computational cost of edge detection can be reduced by exploring other sampling approaches instead of the regular rectangular sampling commonly used. Hexagonal sampling is an alternative to rectangular sampling that requires 13.4% less samples for the same level of accuracy. The hexagonal approach is an efficient method of sampling with greater symmetry compared with the rectangular approach. Spiral architecture can be used to handle the hexagonally sampled seismic data. Spiral architecture is an attractive scheme for handling 2D images that enables processing 2D data as 1D data in addition to the inherent hexagonal sampling advantages. Thus, the savings in number of samples, greater symmetry, and efficient data handling capability makes hexagonal sampling an ideal choice for computationally exhaustive operations. For the first time to our knowledge, we have made an attempt to detect edges in hexagonally sampled seismic data using spiral architecture. We compared edge detection on rectangular and hexagonally sampled seismic data using 2D and 3D filters in rectangular and hexagonal domains. We determined that hexagonal processing results in exceptional computational savings, when compared with its rectangular processing counterpart.",10.1190/geo2015-0495.1
Seismic Modeling With Radial-Basis-Function-Generated Finite Differences,"Presented as a poster at the 2014 SEG Annual Meeting in Denver, Colorado.",10.1190/geo2014-0492.1
Asymptotic Theory For Imaging The Attenuation Factor Q,"To describe accurately the propagation of elastic waves for characterizing and monitoring hydrocarbon reservoirs, as well as to obtain improved earth models, it is important to take into account seismic attenuation. We describe a method to estimate anelastic medium properties by a complete SH-waveform inversion. We use an optimization approach based on the iterative minimization of the mismatch between the seismic data and the computed response. To obtain a fast analytical imaging procedure, we include an asymptotic theory for attenuation in a linearized inverse scattering formulation. The forward modeling is solved by the Born approximation for a smooth and attenuative background medium. An asymptotic ray‐tracing method is used to calculate traveltime, amplitude, and attenuation between source, receiver, and scattering points. The resulting method is computationally efficient and allows for a variety of data‐ acquisition geometries, including those with redundant or incomplete source‐receiver coverage. Synthetic examples with realistic surface‐to‐surface geometry show an acceptable convergence in a few iterations when anomaly perturbations are less than 10% of the reference values and when associated diffracting structures are smaller than one‐tenth of the predominant seismic wavelength. Through there remains the fundamental trade‐off between density and shear modulus, the iterative asymptotic inversion is able to recover the elastic parameters (density and shear modulus) and the attenuation factor.",10.1190/1.1444471
Interpretation Of Magnetic Data Using An Enhanced Local Wavenumber (Elw) Method,"This paper presents an enhancement of the local-wavenumber method (named ELW for ""enhanced local wavenumber"") for interpretation of profile magnetic data. This method uses the traditional and phase-rotated local wavenumbers to produce a linear equation as a function of the model parameters. The equation can be solved to determine the horizontal location and depth of a 2D magnetic body without specifying a priori information about the nature of the sources. Using the obtained source-location parameters, the nature of the source can then be inferred. The method was tested using theoretical simulations with random noise over a dike body. It was able to provide both the location and an index characterizing the nature of the source body. The practical utility of the method is demonstrated using field examples over dikelike bodies from Canada and Egypt.",10.1190/1.1884828
Interactive Inversion In Geosciences,"Inversion algorithms numerically evaluate the mismatch between model and data to guide the search for minima in parameter spaces. In an alternative approach, the numerical evaluation of data misfit can be replaced by subjectively judging the solution's quality. This widens the class of problems that can be treated within the framework of formal inverse theory—in particular, various geophysical/geological/geodynamic applications in which structural similarity between model and data determines the quality of the fit. In this situation, prior knowledge, experience, and even personal intuition are crucial. This approach also provides a simple way to include such expertise in more traditional numeric applications, e.g., to treat ambiguous problems and disregard geologically unfeasible solutions from the inverse search.",10.1190/1.1487069
"Integrated Reservoir Study, Lower Eocene Misoa Reservoirs, Vla-6/9/21 Area, Block I, Phase 2, Stage 2, Lagunillas Field, North‐Central Lake Maracaibo, Venezuela","Twenty‐eight geologically targeted, field development opportunities, including a variety of deeper pool opportunities that could significantly add to Maraven's (affiliate of PDVSA) reserve base, are identified in Lower Eocene Misoa reservoirs in the Stage 2 Area in Block I in north‐central Lake Maracaibo, Venezuela with the help of integrated geophysical, geological, petrophysical, and engineering analyses. Seismic rms amplitudes are instrumental in detecting and mapping trends of lithofacies and were integrated into stratigraphic models. Amplitude response to net sand thickness is a linear relationship. The amplitude signature also captures hydrocarbon charge as evidenced by bright amplitudes coincident with structural, fault‐bounded culminations. These direct hydrocarbon indicators (DHI) can result from as low as 2% miscible gas fraction within the hydrocarbon column.",10.1190/1.1444253
The Development And Applications Of A Wide Band Electromagnetic Sounding System Using A Pseudo‐Noise Source,"A very wide band (0.03 Hz to 15 kHz) electromagnetic (EM) system has been developed. It was used over the band 1 Hz to 10 kHz to determine the electrical structure of the earth's crust from depths of a few meters to over 40 km. A direct current of from 1 to 5 A was reversed through a long wire bipole transmitter in a pseudo‐random binary sequence (PRBS). Depending upon the frequencies selected, a sensitive one‐component flux gate magnetometer or an air‐core coil was used to monitor temporal changes in the vertical component of the magnetic field at a recording site. The measured signal was crosscorrelated digitally in real time with an exact copy of the transmitted waveform in order to obtain a good signal‐to‐noise ratio at distances up to 5 times the length of the bipole. The output crosscorrelogram was deconvolved from the system input, the autocorrelogram of the transmitted waveform, using a Wiener least‐squares filter to give the impulse response of the earth. This was then transformed into frequency domain to yield directly the phase and amplitude transfer function, which was inverted in a routine manner with a Marquardt algorithm to find layer conductivities and thicknesses. Two field experiments are described. The first demonstrates the viability of the technique to sound a simple layered section of interbedded shale and limestone. It was a relatively shallow sounding to a depth of about 500 m in the sedimentary basin of southern Ontario. The second experiment was designed to search for a conductive zone in the lower crust. A bipole over 20 km long carried a transmitter current of only 5 A, yet field data were obtained over the range 35 to 70 km. The primary magnetic fields never exceeded 10 mgamma and were often considerably smaller. The interpretation indicates a conductive layer of resistivity less than 270 Ω-m at a depth of about 20 km.",10.1190/1.1441124
Effect Of Development Time And Developer Temperature On The Production Of Photographic Seismograph Records,"The effect of variation of development time and developer temperature on the production of uniform records is discussed, and a method of determining the relation is shown. Graphs plotted from sensitometric data indicate the need of some means of temperature control.",10.1190/1.1437115
Electrical Analog Approach To Dipmeter Computation,"An electrical analog instrument has been developed to calculate dip and strike from continuous dipmeter logs. The particular model described is designed specifically for the Schlumberger CDM-P, or Poteclinometer, logs and it can be used with hole deviations of up to 36 degrees. Every control on this instrument corresponds to one of the recorded parameters of the dipmeter log. It is thus easy to see the effect of any one parameter on the resolved dip and strike. The instrument is portable and can therefore be used at the well site, if necessary, to make on‐the‐spot decisions regarding further drilling operation after a dipmeter log has been run. No elaborate training in procedure is required. The rapidity with which the computations can be made also permits a larger number of levels to be computed. This frequently results in more accurate information and a considerable saving in computation expense.",10.1190/1.1438773
A Theory For The Regional Correction Of Potential Field Data,"An analytical method based on the theory of statistical probability is developed for separating regional from local potential field effects. It is applied to an objective test on an artificial problem, as well as to a gravity survey that has already been the subject of studies of other averaging methods. It succeeds in both tests with good accuracy, and points up the danger of arbitrariness in the use of numerical methods.",10.1190/1.1437968
"Line Spacing Effect And Determination Of Optimum Spacing Illustrated By Marmora, Ontario Magnetic Anomaly","The airborne magnetometer data of the Marmora iron ore deposit at Marmora, Ontario have been used as an example to show the results obtained by the use of various line spacings ranging from 1 mile to 1/4 mile. The maps show how easy it is, in any type of geophysical survey, to miss a feature of economic value if the line spacing is too coarse. The probability equations are given for the crossing of randomly oriented features whose maximum dimension is less than the spacing of the control lines for circular, elongate, and rectangular outlines. The equations are P=D/S; P=2L/πS; P=2(L+W)/πS; P=A/πS; P=(2L(S+T)-L2)/πST; and P=(D(S+T-πD))/ST; respectively where P is the probability; D is the diameter; L is the length; W is the width; and S and T are line spacings.",10.1190/1.1438197
Simultaneous 1D Inversion Of Loop–Loop Electromagnetic Data For Magnetic Susceptibility And Electrical Conductivity,"We present an algorithm that simultaneously inverts susceptibility‐affected data for 1D conductivity and susceptibility models. The solution is obtained by minimizing an objective function comprised of a sum‐of‐squares measure of data misfit and sum‐of‐squares measures of the amounts of structure in the conductivity and susceptibility models. Positivity of the susceptibilities is enforced by including a logarithmic barrier term in the objective function. The trade‐off parameter is automatically estimated using the generalized cross validation (GCV) criterion. This enables an appropriate fit to the observations to be achieved even if good noise estimates are not available. As well as synthetic examples, we show the results of inverting airborne data sets from Australia and Heath Steele Stratmat, New Brunswick.",10.1190/1.1635038
2-D Gravity Modeling With Analytically Defined Geometry And Quadratic Polynomial Density Functions,"New methods for 2-D modeling of gravity anomaly data are developed following an approach that uses both analytic and numerical methods of integration. The forward‐model solution developed here is suitable to calculate the gravity effect caused by a 2-D source body bounded either laterally or vertically by continuous functions. In our models, the density contrast is defined by a second‐order polynomial function of depth and distance along the profile. We present several examples to show that our models are capable of accommodating a broad variety of geologic structures.",10.1190/1.1444677
Improved Interface Detection For Vertical Seismic Profile Inversion,"Grivelet (1985) presented an interface detection scheme as part of his iterative modeling approach to vertical seismic profile (VSP) inversion. In his scheme and those like it (Dillon, 1985), the interfaces which produce major reflections must be identified for reasons of stability and uniqueness. In general, Grivelet's detection algorithm works well, though it sometimes fails when two events of the same polarity and amplitude overlap. By extending his detection algorithm, we obtain more robust interface detection.",10.1190/1.1442566
Crone Pulse Electromagnetic Response Of A Conducting Thin Horizontal Sheet—Theory And Field Application,"The horizontal, conducting thin‐sheet model represents a special interest in interpretation of electromagnetic field data since it is a suitable interpretation model for the surficial conductive layer, a common occurrence in many terrains. For small thicknesses of overburden layers (⩽.05Tx-Rxseparation) the resolution of layer thickness and conductivity is not possible and interpretation needs to be carried out in terms of the layer conductance. An attractive feature of the thin‐sheet model is the simplicity with which the time‐domain response ",10.1190/1.1442006
Reservoir Characterization Based Upon The Onset Of Time-Lapse Amplitude Changes,"Time-lapse geophysical monitoring has potential as a tool for reservoir characterization, that is, for determining reservoir properties such as permeability. Onset times, the calendar times at which geophysical observations begin to deviate from their initial or background values, provide a useful basis for such characterization. We found that, in contrast to time-lapse amplitude changes, onset times were not sensitive to the exact method used to related changes in fluid saturation to changes in seismic velocities. As a consequence of this, we found that an inversion for effective permeability based upon onset times was robust with respect to variations in the rock-physics model. In particular, inversions of synthetic onset times calculated using Voigt and Reuss averaging techniques, but inverted using sensitivities from Hill's averaging method, resulted in almost identical misfit reductions and similar permeability models. All solutions based on onset times recovered the large-scale, resolvable features of the reference model. Synthetic tests indicated that reliable onset times can be obtained from noisy seismic amplitudes. Testing also indicated that large-scale permeability variations can be recovered even if we used onset times from seismic surveys that were spaced as much as 300 days apart.",10.1190/geo2014-0076.1
Pore Pressure Estimation In Reservoir Rocks From Seismic Reflection Data,"A method is used to obtain pore pressure in shaly sandstones based upon an acoustic model for seismic velocity versus clay content and effective pressure. Calibration of the model requires log data—porosity, clay content, and sonic velocities—to obtain the dry‐rock moduli and the effective stress coefficients as a function of depth and pore pressure. The seismic P‐wave velocity, derived from reflection tomography, is fitted to the theoretical velocity by using pore pressure as the fitting parameter. This approach, based on a rock‐physics model, is an improvement over existing pore‐pressure prediction methods, which mainly rely on empirical relations between velocity and pressure. The method is applied to the Tune field in the Viking Graben sedimentary basin of the North Sea. We have obtained a high‐resolution velocity map that reveals the sensitivity to pore pressure and fluid saturation in the Tarbert reservoir. The velocity map of the Tarbert reservoir and the inverted pressure distribution agree with the structural features of the Tarbert Formation and its known pressure compartments.",10.1190/1.1620631
Moment And Moment Magnitude Of Seismic Events Located By Stacking,"Determination of moment and moment magnitude for seismic events located by stacking has been an unsolved problem because current methodologies cannot be applied. To solve this problem, we have developed a methodology for moment magnitude Mw estimation of (micro) seismic events. Our method was designed for stacking waveforms. We found that magnitude can be determined from the stack of amplitudes corrected for radiation pattern and propagation effects such as geometric spreading, attenuation, and free-surface boundary. From the stack of corrected waveforms, we found the low-frequency limit corresponding to the stack of particle displacement and calculated seismic moment. We found that an unstacked method of estimating moment magnitude on each trace and averaging these estimates was consistent with the method we developed although it was limited to higher magnitude events and more sensitive to noise. We benchmarked our methodology with a case study and found improvement in Mw estimation resulting in determination of magnitude for weaker events when unstacked methodology cannot be used.",10.1190/geo2014-0179.1
"High‐Frequency Reflections In Granite? Delineation Of The Weathering Front In Granodiorite At Piñon Flat, California","We analyze data from two orthogonal seismic lines 336 m in length collected at Piñon Flat, California, over weathered granodiorite bedrock. Each line was made up of 10 reversed segments 84 m in length. We analyzed the first arrivals from these data and found dramatic variations in velocity along the profiles. An upper layer (approximately 2-m thick) known from trenching to be composed of soil and sandy grus had measured velocities ranging from 400 to 700 m/s. Velocities inferred from refraction analysis of first arrivals of the reversed lines revealed a heterogeneous lower layer below the soil with measured velocities of 1600–2700 m/s by a depth of 15 m. We interpret these data to be measuring velocities of a deeply weathered unit characterized by granodiorite corestones embedded in a matrix of saprolite. The most remarkable feature of these data emerged from attempting to process the same data as reflection data. Simple bandpass filtering in the 250–400 Hz band revealed a bright, impulsive arrival with three characteristic properties: (1) irregular velocity moveout that is inconsistent with that expected from a layered earth model, (2) the arrival is at a nearly constant time‐depth on all data, and (3) the arrival tends to be followed by a ringing coda whose frequency varies from trace to trace. This arrival ties exactly with a velocity discontinuity measured in a borehole located on one of the profiles that we interpret as the base of the weathered layer. We suggest this arrival is a specular reflection from a weathering front that occurs along horizontal sheeting joints at a fixed depth below the surface. This surface acts as an effective mirror for high‐frequency seismic waves which are then channeled upward through an intact, high-Q path of unaltered blocks of granodiorite to define the observed signals at the surface.",10.1190/1.1444688
Prestack Kirchhoff Depth Migration Of Shallow Seismic Data,"Prestack Kirchhoff depth migration is applied successfully to shallow seismic data from a waste disposal site near Arnstadt in Thuringia, Germany. The motivation behind this study was to locate an underground building buried in a waste disposal. The processing sequence of the prestack migration is simplified significantly as compared to standard common (CMP) data processing. It includes only two parts: (1) velocity‐depth‐model estimation and (2) prestack depth migration. In contrast to conventional CMP stacking, prestack migration does not require a separation of reflections and refractions in the shot data. It still provides an appropriate image. Our data example shows that a superior image can be achieved that would contain not just subtle improvements but a qualitative step forward in resolution and signal‐to‐noise ratio.",10.1190/1.1444425
Direct Design Of Two‐Dimensional Digital Wavenumber Filters,"A closed form solution is derived for generating the space domain weighting coefficients for phase‐distortionless low‐pass filters with flat pass regions, variable cutoff wavenumbers (kc) and variable cutoff rates (Δk). High‐pass and bandpass filters can be designed using the same basic algorithm. The error in the spectrum of the filters, due to truncation of the weighting coefficient set, depends on both Δk and kc. An empirical error analysis yielded criteria for estimating the size of the coefficient array for an acceptable error level in the spectrum.",10.1190/1.1440143
The Migrator'S Equation For Anisotropic Media,"The migrator's equation, which gives the relationship between real and apparent dips on a reflector in zero‐offset reflection seismic sections, may be readily implemented in one step with a frequency‐domain migration algorithm for homogeneous media. Huygens' principle is used to derive a similar relationship for anisotropic media where velocities are directionally dependent. The anisotropic form of the migrator's equation is applicable to both elliptically and nonelliptically anisotropic media. Transversely isotropic media are used to demonstrate the performance of an f-k implementation of the migrator's equation for anisotropic media. In such a medium SH-waves are elliptically anisotropic, while P-waves are nonelliptically anisotropic. Numerical model data and physical model data demonstrate the performance of the algorithm, in each case recovering the original structure. Isotropic and anisotropic migration of anisotropic physical model data are compared experimentally, where the anisotropic velocity function of the medium has a vertical axis of symmetry. Only when anisotropic migration is used is the original structure recovered.",10.1190/1.1442789
Time-Varying Wavelet Estimation And Deconvolution By Kurtosis Maximization,"Phase mismatches sometimes occur between final processed sections and zero-phase synthetics based on well logs, despite best efforts for controlled-phase acquisition and processing. The latter are often based on deterministic corrections derived from field measurements and physical laws. A statistical analysis of the data can reveal whether a time-varying nonzero phase is present. This assumes that the data should be white with respect to all statistical orders after proper deterministic corrections have been applied. Kurtosis maximization by constant phase rotation is a statistical method that can reveal the phase of a seismic wavelet. It is robust enough to detect time-varying phase changes. Phase-only corrections can then be applied by means of a time-varying phase rotation. Alternatively, amplitude and phase deconvolution can be achieved using time-varying Wiener filtering. Time-varying wavelet extraction and deconvolution can also be used as a data-driven alternative to amplitude-only inverse- Q  deconvolution.",10.1190/1.2831936
Seismic Contouring: A Unique Skill,"Seismic contouring is a unique skill that requires combining the variable nature of the seismic signal with the varying structural styles of rock deformation. The computer is very helpful in producing suites of maps quickly, but it has often failed to incorporate structural styles and faults into meaningful geologic contours. This integration requires a visual image of the evolving structures that can best be obtained by an interpreter's hand contouring or with an interactive work station guided by an interpreter's hand. Each of the following situations requires a different approach to contouring and mapping the seismic data: (1) Three major styles of rock folding— (a) concentric folding, requiring smooth, hyperbolic contours: (b) plastic flow, requiring parallel contours and rounded reversals; and (c) topographic folding, requiring equal‐spaced contours and closed highs and lows. (2) Faults—May be difficult to visualize unless they are properly annotated and integrated into the contours. (3) Isotime maps—Should be contoured in the shape of depositional bodies. (4) Phantom horizon and dip maps—Needed when there are no continuous horizons. These maps can be useful as reconnaissance maps for planning programs in frontier areas. (5) Prospect (manager's) maps—The summation of all previous maps. They must be precise, clear, and simple. They must say, ""Here's the oil!""",10.1190/1.1442509
